name,description,category,price,stock,manufacturer,rackNo,expiryDate
Saline Solution 500ml,Sterile IV saline solution,Medicine,6.99,100,MediCare,A6,2026-02-28
Infrared Thermometer,Contactless body temperature scanner,Equipment,32.99,40,TechMed,D5,
Stethoscope,High-sensitivity dual-head stethoscope,Equipment,49.99,35,HealthTech,D6,
Wheelchair,Lightweight foldable mobility chair,Equipment,120.00,15,SafeMove,D7,
Alcohol Swabs,Pre-injection antiseptic wipes (100pcs),Medical Supplies,5.50,180,Medisoft,B7,2026-04-30
Surgical Mask,Three-layer protective face mask (50pcs),Safety Equipment,13.99,250,ProtectPlus,E5,2025-09-01
Pain Relief Spray,Topical muscle pain relief spray,Medicine,10.25,95,PharmaCorp,A7,2026-03-31
Vitamins D3 Softgels,Bone health supplement (60 capsules),Supplement,14.75,110,WellLife,F2,2026-06-30
Blood Glucose Test Strips,Compatible with standard glucose meters,Medical Supplies,19.99,130,TechMed,B8,2026-01-31
Sterile Water for Injection,Pharmaceutical-grade sterile water,Medicine,3.25,200,CleanCare,A8,2025-12-01
Disposable Gowns,Protective non-woven gowns (10pcs),Safety Equipment,24.50,90,SafeMed,E6,2026-05-31
Therapeutic Heating Pad,Electric heating pad for pain relief,Equipment,34.99,25,HealthTech,D8,
Crutches,Adjustable aluminum walking crutches,Equipment,45.00,20,SafeMove,D9,
Eye Drops Lubricant,Artificial tear solution for dry eyes,Medicine,8.50,70,PharmaCorp,A9,2025-11-15
Insulin Syringes,Sterile 1ml syringes for insulin use (10pcs),Medical Supplies,6.75,160,MediSupply,B9,2027-02-28
